"","code_station","libelle_station","code_departement","libelle_departement","code_commune","libelle_commune","code_region","libelle_region","code_bassin","libelle_bassin","code_cours_eau","libelle_cours_eau","code_campagne","code_reseau","libelle_reseau","code_ecoulement","libelle_ecoulement","longitude","latitude","date_campagne","nombre_modalite_ecoulement","code_type_campagne","libelle_type_campagne","uri_reseau","etat_station","Annee"
"1","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","106100","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2026-04-24,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2026
"2","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","104904","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-10-24,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"3","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","104061","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-09-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"4","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","103401","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-09-09,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"5","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","102953","0000000134","Onde OFB","1f","Ecoulement visible faible",-1.352319858,47.778148819,2025-08-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"6","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","102250","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-08-05,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"7","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","101864","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-07-24,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"8","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","101400","0000000134","Onde OFB","1f","Ecoulement visible faible",-1.352319858,47.778148819,2025-07-10,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"9","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","100714","0000000134","Onde OFB","1f","Ecoulement visible faible",-1.352319858,47.778148819,2025-06-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"10","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","100350","0000000134","Onde OFB","1f","Ecoulement visible faible",-1.352319858,47.778148819,2025-06-11,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"11","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","99751","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-05-23,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"12","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","98889","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2024-09-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"13","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","98779","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2024-09-11,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2024
"14","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","98678","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2024-08-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"15","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","98620","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2024-08-08,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2024
