"","code_station","libelle_station","code_departement","libelle_departement","code_commune","libelle_commune","code_region","libelle_region","code_bassin","libelle_bassin","code_cours_eau","libelle_cours_eau","code_campagne","code_reseau","libelle_reseau","code_ecoulement","libelle_ecoulement","longitude","latitude","date_campagne","nombre_modalite_ecoulement","code_type_campagne","libelle_type_campagne","uri_reseau","etat_station","Annee"
"1","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","108756","0000000134","Onde OFB","2","Ecoulement non visible",-1.352319858,47.778148819,2026-07-23,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2026
"2","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","108251","0000000134","Onde OFB","1f","Ecoulement visible faible",-1.352319858,47.778148819,2026-07-09,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2026
"3","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","107564","0000000134","Onde OFB","1f","Ecoulement visible faible",-1.352319858,47.778148819,2026-06-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2026
"4","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","107200","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2026-06-11,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2026
"5","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","106757","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2026-05-24,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2026
"6","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","106100","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2026-04-24,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2026
"7","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","104904","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-10-24,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"8","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","104061","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-09-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"9","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","103401","0000000134","Onde OFB","1a","Ecoulement visible acceptable",-1.352319858,47.778148819,2025-09-09,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"10","J7610001","La Brutz","44","Loire-Atlantique","44112","NOYAL-SUR-BRUTZ","52","Pays de la Loire","04","Loire-Bretagne","J7614000","la Brutz","102953","0000000134","Onde OFB","1f","Ecoulement visible faible",-1.352319858,47.778148819,2025-08-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
